id,date,zipcode,price,condition,median_price_zip,buying_analysis
7129300520,2014-10-13,98178,221900.0,3,278277.0,Buy
6414100192,2014-12-09,98125,538000.0,3,425000.0,Not Buy
5631500400,2015-02-25,98028,180000.0,3,445000.0,Buy
2487200875,2014-12-09,98136,604000.0,5,489950.0,Not Buy
1954400510,2015-02-18,98074,510000.0,3,642000.0,Buy
7237550310,2014-05-12,98053,1225000.0,3,635000.0,Not Buy
1321400060,2014-06-27,98003,257500.0,3,267475.0,Buy
2008000270,2015-01-15,98198,291850.0,3,265000.0,Not Buy
2414600126,2015-04-15,98146,229500.0,3,305000.0,Buy
3793500160,2015-03-12,98038,323000.0,3,342000.0,Buy
1736800520,2015-04-03,98007,662500.0,3,555000.0,Not Buy
9212900260,2014-05-27,98115,468000.0,4,567000.0,Buy
114101516,2014-05-28,98028,310000.0,4,445000.0,Buy
6054650070,2014-10-07,98074,400000.0,4,642000.0,Buy
1175000570,2015-03-12,98107,530000.0,3,529950.0,Not Buy
9297300055,2015-01-24,98126,650000.0,3,395750.0,Not Buy
1875500060,2014-07-31,98019,395000.0,3,401250.0,Buy
6865200140,2014-05-29,98103,485000.0,4,550000.0,Buy
16000397,2014-12-05,98002,189000.0,4,235000.0,Buy
7983200060,2015-04-24,98003,230000.0,4,267475.0,Buy
6300500875,2014-05-14,98133,385000.0,4,375000.0,Not Buy
2524049179,2014-08-26,98040,2000000.0,3,993750.0,Not Buy
7137970340,2014-07-03,98092,285000.0,3,309780.0,Buy
8091400200,2014-05-16,98030,252700.0,3,282255.0,Buy
3814700200,2014-11-20,98030,329000.0,4,282255.0,Not Buy
1202000200,2014-11-03,98002,233000.0,5,235000.0,Buy
1794500383,2014-06-26,98119,937000.0,3,744975.0,Not Buy
3303700376,2014-12-01,98112,667000.0,5,915000.0,Buy
5101402488,2014-06-24,98115,438000.0,3,567000.0,Buy
1873100390,2015-03-02,98052,719000.0,3,615000.0,Not Buy
8562750320,2014-11-10,98027,580500.0,3,570500.0,Not Buy
2426039314,2014-12-01,98133,280000.0,3,375000.0,Buy
461000390,2014-06-24,98117,687500.0,4,544000.0,Not Buy
7589200193,2014-11-10,98117,535000.0,4,544000.0,Buy
7955080270,2014-12-03,98058,322500.0,3,335000.0,Buy
9547205180,2014-06-13,98115,696000.0,3,567000.0,Not Buy
9435300030,2014-05-28,98052,550000.0,1,615000.0,Not Buy
2768000400,2014-12-30,98107,640000.0,4,529950.0,Not Buy
7895500070,2015-02-13,98001,240000.0,2,260000.0,Not Buy
2078500320,2014-06-20,98056,605000.0,3,380000.0,Not Buy
5547700270,2014-07-15,98074,625000.0,3,642000.0,Buy
7766200013,2014-08-11,98166,775000.0,3,390000.0,Not Buy
7203220400,2014-07-07,98053,861990.0,3,635000.0,Not Buy
9270200160,2014-10-28,98119,685000.0,3,744975.0,Buy
1432701230,2014-07-29,98058,309000.0,4,335000.0,Buy
8035350320,2014-07-18,98019,488000.0,3,401250.0,Not Buy
8945200830,2015-03-25,98023,210490.0,3,268450.0,Buy
4178300310,2014-07-16,98007,785000.0,4,555000.0,Not Buy
9215400105,2015-04-28,98115,450000.0,4,567000.0,Buy
822039084,2015-03-11,98070,1350000.0,5,463750.0,Not Buy
5245600105,2014-09-16,98148,228000.0,3,278000.0,Buy
7231300125,2015-02-17,98056,345000.0,4,380000.0,Buy
7518505990,2014-12-31,98117,600000.0,4,544000.0,Not Buy
3626039271,2015-02-05,98117,585000.0,3,544000.0,Not Buy
4217401195,2015-03-03,98105,920000.0,3,675000.0,Not Buy
9822700295,2014-05-12,98105,885000.0,3,675000.0,Not Buy
9478500640,2014-08-19,98042,292500.0,3,292000.0,Not Buy
2799800710,2015-04-07,98042,301000.0,3,292000.0,Not Buy
7922800400,2014-08-27,98008,951000.0,4,545000.0,Not Buy
8079040320,2015-02-23,98059,430000.0,3,435000.0,Buy
